timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:12:42.742870,True,10.0,1872.0,8188.0,40.0,28.92,0.0,0.1,6.9,8.0
2024-11-27T15:12:44.375773,True,13.0,1892.0,8188.0,39.0,16.37,0.0,0.1,6.9,6.0
2024-11-27T15:12:46.027139,True,34.0,1886.0,8188.0,39.0,9.81,0.0,0.6,6.9,42.0
2024-11-27T15:12:47.675533,True,19.0,1835.0,8188.0,39.0,11.49,0.0,0.3,6.9,30.0
2024-11-27T15:12:49.349095,True,3.0,1832.0,8188.0,40.0,22.26,0.0,0.4,6.9,32.0
2024-11-27T15:12:51.034493,True,4.0,1830.0,8188.0,40.0,26.43,0.0,0.3,6.9,2.0
2024-11-27T15:12:52.693053,True,21.0,1829.0,8188.0,39.0,17.96,0.0,0.2,6.9,34.0
2024-11-27T15:12:54.352235,True,22.0,1828.0,8188.0,39.0,11.44,0.0,0.4,6.8,2.0
2024-11-27T15:12:56.012376,True,20.0,1818.0,8188.0,39.0,8.12,0.0,0.4,6.8,4.0
2024-11-27T15:12:57.678180,True,15.0,1809.0,8188.0,39.0,11.16,0.0,0.4,6.8,10.0
2024-11-27T15:12:59.360449,True,27.0,1809.0,8188.0,39.0,8.55,0.0,0.5,6.8,24.0
2024-11-27T15:13:01.060534,True,23.0,1809.0,8188.0,39.0,7.41,0.0,0.5,6.8,8.0
2024-11-27T15:13:02.728337,True,12.0,1831.0,8188.0,39.0,11.35,0.0,0.4,6.8,22.0
2024-11-27T15:13:04.385385,True,33.0,1857.0,8188.0,39.0,7.53,0.0,0.3,6.8,42.0
2024-11-27T15:13:06.046684,True,36.0,1860.0,8188.0,39.0,7.36,0.0,0.3,6.8,6.0
2024-11-27T15:13:07.749353,True,30.0,1892.0,8188.0,39.0,7.76,0.0,0.2,6.8,12.0
2024-11-27T15:13:09.452400,True,8.0,1872.0,8188.0,39.0,11.43,0.0,0.2,6.8,44.0
2024-11-27T15:13:11.140040,True,19.0,1868.0,8188.0,39.0,7.79,0.0,0.3,6.8,22.0
2024-11-27T15:13:12.846516,True,65.0,1847.0,8188.0,40.0,7.56,0.0,0.3,6.8,92.0
2024-11-27T15:13:13.449819,True,11.0,1886.0,8188.0,41.0,26.75,0.0,0.5,6.9,108.0
2024-11-27T15:13:15.133140,True,24.0,1868.0,8188.0,40.0,11.99,0.0,0.2,6.8,26.0
2024-11-27T15:13:16.854252,True,14.0,1857.0,8188.0,40.0,11.5,0.0,0.2,6.8,20.0
2024-11-27T15:13:18.542092,True,16.0,1835.0,8188.0,40.0,9.36,0.0,0.4,6.8,4.0
2024-11-27T15:13:20.249821,True,27.0,1839.0,8188.0,40.0,10.77,0.0,0.4,6.8,22.0
2024-11-27T15:13:21.967329,True,29.0,1847.0,8188.0,40.0,10.1,0.0,0.3,6.8,4.0
2024-11-27T15:13:23.693514,True,48.0,1846.0,8188.0,40.0,9.72,0.0,0.5,6.8,38.0
2024-11-27T15:13:25.387297,True,16.0,1853.0,8188.0,40.0,11.19,0.0,0.3,6.9,64.0
2024-11-27T15:13:27.095937,True,14.0,1854.0,8188.0,40.0,8.71,0.0,0.1,6.9,4.0
2024-11-27T15:13:28.810011,True,17.0,1861.0,8188.0,40.0,11.68,0.0,0.3,6.9,6.0
2024-11-27T15:13:30.504527,True,11.0,1859.0,8188.0,40.0,10.11,0.0,0.1,6.9,12.0
2024-11-27T15:13:32.169590,True,12.0,1861.0,8188.0,41.0,19.09,0.0,0.5,6.9,2.0
2024-11-27T15:13:33.850242,True,5.0,1860.0,8188.0,41.0,26.6,0.0,0.3,6.9,14.0
2024-11-27T15:13:35.519828,True,5.0,1857.0,8188.0,41.0,26.36,0.0,0.1,6.9,1
2024-11-27T15:13:37.170322,True,4.0,1882.0,8188.0,41.0,14.69,0.0,0.4,6.9,2.0
2024-11-27T15:13:38.828197,True,3.0,1881.0,8188.0,41.0,26.28,0.0,0.3,6.9,2.0
2024-11-27T15:13:40.470269,True,9.0,1870.0,8188.0,41.0,26.31,0.0,0.3,6.9,12.0
2024-11-27T15:13:42.132983,True,23.0,1867.0,8188.0,41.0,11.89,0.0,0.3,6.9,28.0
2024-11-27T15:13:43.821582,True,15.0,1835.0,8188.0,41.0,11.47,0.0,0.2,6.9,16.0
2024-11-27T15:13:44.384369,True,8.0,1834.0,8188.0,41.0,11.23,0.0,0.3,6.9,14.0
2024-11-27T15:13:46.035835,True,13.0,1862.0,8188.0,41.0,11.95,0.0,0.3,6.9,10.0
2024-11-27T15:13:47.679695,True,13.0,1863.0,8188.0,41.0,10.95,0.0,0.3,6.9,1
2024-11-27T15:13:49.327989,True,20.0,1863.0,8188.0,41.0,7.55,0.0,0.5,6.9,14.0
2024-11-27T15:13:51.014550,True,15.0,1862.0,8188.0,41.0,7.43,0.0,0.3,6.9,10.0
2024-11-27T15:13:52.689347,True,44.0,1862.0,8188.0,41.0,7.58,0.0,0.2,6.9,58.0
2024-11-27T15:13:54.369616,True,33.0,1863.0,8188.0,41.0,7.48,0.0,0.2,6.9,22.0
2024-11-27T15:13:56.009774,True,13.0,1863.0,8188.0,41.0,7.38,0.0,0.2,6.9,40.0
2024-11-27T15:13:57.694095,True,55.0,1917.0,8188.0,41.0,7.99,0.0,0.2,6.9,84.0
2024-11-27T15:13:59.350152,True,8.0,1918.0,8188.0,41.0,11.44,0.0,0.3,6.9,94.0
2024-11-27T15:14:01.037535,True,14.0,1906.0,8188.0,41.0,11.73,0.0,0.3,6.9,12.0
2024-11-27T15:14:02.734908,True,30.0,1903.0,8188.0,41.0,11.18,0.0,0.3,6.9,32.0
2024-11-27T15:14:04.421629,True,51.0,1886.0,8188.0,41.0,9.96,0.0,0.4,6.9,42.0
2024-11-27T15:14:06.120651,True,24.0,1921.0,8188.0,41.0,12.39,0.0,0.2,6.9,54.0
2024-11-27T15:14:07.808194,True,18.0,1910.0,8188.0,41.0,11.95,0.0,0.3,6.9,12.0
2024-11-27T15:14:09.509713,True,20.0,1898.0,8188.0,41.0,12.19,0.0,0.3,6.9,4.0
2024-11-27T15:14:11.247558,True,53.0,1882.0,8188.0,41.0,11.35,0.0,0.4,6.9,66.0
2024-11-27T15:14:12.949471,True,32.0,1876.0,8188.0,41.0,12.18,0.0,0.3,6.9,42.0
2024-11-27T15:14:14.649168,True,24.0,1872.0,8188.0,41.0,10.59,0.0,0.3,6.9,16.0
2024-11-27T15:14:15.217720,True,18.0,1872.0,8188.0,41.0,12.04,0.0,0.1,6.9,12.0
2024-11-27T15:14:16.918748,True,22.0,1884.0,8188.0,41.0,11.75,0.0,0.3,6.9,8.0
2024-11-27T15:14:18.642597,True,30.0,1884.0,8188.0,41.0,12.45,0.0,0.5,6.9,16.0
2024-11-27T15:14:20.353106,True,31.0,1891.0,8188.0,41.0,12.17,0.0,0.3,6.9,2.0
2024-11-27T15:14:22.050327,True,26.0,1882.0,8188.0,41.0,12.17,0.0,0.4,6.9,10.0
2024-11-27T15:14:23.724533,True,12.0,1937.0,8188.0,41.0,10.41,0.0,0.5,6.9,28.0
2024-11-27T15:14:25.383926,True,17.0,1937.0,8188.0,41.0,10.16,0.0,0.3,6.9,10.0
2024-11-27T15:14:27.080599,True,22.0,1924.0,8188.0,41.0,7.54,0.0,0.3,6.9,10.0
2024-11-27T15:14:28.756099,True,39.0,1922.0,8188.0,41.0,7.63,0.0,0.4,6.9,34.0
2024-11-27T15:14:30.423346,True,25.0,1938.0,8188.0,41.0,10.6,0.0,0.2,6.9,28.0
2024-11-27T15:14:32.065172,True,21.0,1920.0,8188.0,41.0,9.29,0.0,0.3,6.9,8.0
2024-11-27T15:14:33.738980,True,20.0,1919.0,8188.0,41.0,7.59,0.0,0.2,6.9,2.0
2024-11-27T15:14:35.392827,True,10.0,1932.0,8188.0,41.0,11.12,0.0,0.4,6.9,20.0
2024-11-27T15:14:37.031116,True,19.0,1921.0,8188.0,41.0,8.64,0.0,0.5,6.9,18.0
2024-11-27T15:14:38.689024,True,21.0,1913.0,8188.0,41.0,7.48,0.0,0.2,6.9,4.0
2024-11-27T15:14:40.360840,True,21.0,1899.0,8188.0,41.0,7.54,0.0,0.3,6.9,1
2024-11-27T15:14:42.029029,True,47.0,1882.0,8188.0,41.0,7.52,0.0,0.3,6.9,52.0
2024-11-27T15:14:43.668460,True,39.0,1882.0,8188.0,41.0,7.53,0.0,0.3,6.9,16.0
2024-11-27T15:14:45.311269,True,20.0,1882.0,8188.0,41.0,7.57,0.0,0.2,6.9,38.0
2024-11-27T15:14:45.847160,True,22.0,1882.0,8188.0,41.0,7.54,0.0,0.3,6.9,4.0
2024-11-27T15:14:47.523638,True,20.0,1882.0,8188.0,41.0,7.59,0.0,0.2,6.9,4.0
2024-11-27T15:14:49.206821,True,16.0,1919.0,8188.0,42.0,22.07,0.0,0.4,6.9,8.0
2024-11-27T15:14:50.866016,True,16.0,1913.0,8188.0,42.0,22.43,0.0,0.1,6.9,1
2024-11-27T15:14:52.537377,True,47.0,1913.0,8188.0,42.0,13.12,0.0,0.1,6.9,62.0
2024-11-27T15:14:54.191865,True,23.0,1910.0,8188.0,42.0,20.88,0.0,0.2,6.9,48.0
2024-11-27T15:14:55.853923,True,37.0,1902.0,8188.0,42.0,13.22,0.0,0.3,6.9,28.0
2024-11-27T15:14:57.528660,True,16.0,1902.0,8188.0,42.0,20.02,0.0,0.1,6.9,42.0
